Lens ID,Publication Year
025-531-171-009-537,2021
025-537-438-614-777,2012
025-605-549-533-680,2000
025-606-293-615-790,2003
025-646-860-006-243,2013
025-813-387-823-744,2021
025-831-002-433-825,2009
025-848-516-378-852,2005
025-870-801-511-705,2021
025-891-935-806-317,2017
025-950-584-126-965,2021
026-016-286-201-780,2014
026-023-951-135-636,2002
026-031-267-757-05X,2000
026-067-631-805-148,2013
026-114-402-727-763,2018
026-127-926-996-182,2016
026-160-865-522-77X,2017
026-178-071-007-296,2021
026-207-877-852-579,2020
026-226-310-570-136,2019
026-309-602-156-168,2009
026-344-444-314-514,2006
026-376-233-773-274,2019
026-386-784-289-71X,2009
026-431-255-582-451,2009
026-478-352-726-320,2016
026-540-623-460-785,2018
026-560-208-426-262,2020
026-606-864-410-550,2021
026-638-050-351-05X,2012
026-659-639-476-712,2021
026-668-437-558-802,2019
026-761-496-734-016,2011
026-785-411-490-283,2013
026-814-013-679-275,2017
026-824-080-331-526,2020
026-837-550-893-885,2021
026-924-321-737-825,2021
026-940-793-344-317,2020
026-951-012-720-10X,2018
026-978-870-550-709,2015
026-982-855-026-791,2016
027-030-489-913-224,2019
027-050-268-663-186,2010
027-066-890-876-815,2015
027-143-467-771-385,2020
027-234-452-503-816,2006
027-286-419-371-625,2014
027-291-958-080-647,2015
027-337-245-075-961,2016
027-371-492-273-710,2020
027-403-347-241-409,2013
027-404-169-724-823,2017
027-471-974-415-089,2015
027-506-480-522-121,
027-516-475-562-478,2017
027-546-915-979-881,2020
027-569-666-532-967,2018
027-630-554-854-427,2015
027-645-041-292-483,2011
027-675-823-376-996,2016
027-703-125-812-266,2021
027-732-653-514-820,2017
027-745-977-820-712,2020
027-748-649-715-407,2019
027-769-508-786-79X,2018
027-832-266-321-269,2020
027-855-422-032-621,2019
027-938-344-740-190,2014
027-958-708-790-788,2015
028-009-159-390-563,2020
028-040-097-173-525,2006
028-077-398-281-895,2019
028-084-961-068-432,2011
028-092-378-248-399,2020
028-141-312-619-773,2014
028-176-127-281-387,2020
028-198-404-019-262,2020
028-255-203-509-853,2016
028-289-645-624-352,2016
028-290-611-072-981,2011
028-400-899-132-342,2020
028-463-615-783-951,2008
028-472-841-755-750,2009
028-504-987-833-815,2021
028-541-123-875-420,2013
028-542-260-733-335,2021
028-543-455-009-560,2017
028-574-648-773-129,2012
028-594-506-320-042,2015
028-609-793-628-945,2019
028-631-450-228-342,2021
028-652-016-024-825,2007
028-659-236-362-174,2014
028-774-680-513-315,2014
028-787-034-721-761,2016
028-792-506-939-264,2008
028-824-946-519-304,2021
028-843-933-056-885,2020
028-879-941-720-824,2010
028-899-690-792-660,2013
028-911-152-400-454,2007
028-911-242-888-270,2020
028-918-363-916-25X,2019
028-956-099-899-215,2018
028-998-296-514-826,2019
029-053-979-810-37X,2011
029-071-880-966-074,2014
029-080-665-417-333,2019
029-094-404-982-083,2017
029-153-604-477-214,2020
029-186-364-854-965,2006
029-206-192-844-626,2015
029-245-994-825-808,1982
029-250-739-154-118,2014
029-257-320-394-616,2021
029-260-544-006-026,2009
029-266-269-554-980,2008
029-268-886-020-879,2012
029-281-193-258-258,2019
029-297-520-954-530,2014
029-334-237-235-477,2017
029-361-828-780-796,2016
029-376-702-685-760,2018
029-380-469-418-050,2020
029-429-407-687-639,2015
029-473-938-924-718,2015
029-479-689-324-136,2021
029-501-405-172-133,2011
029-504-577-415-051,2019
029-512-804-230-138,2014
029-568-009-301-577,2020
029-597-510-469-165,2012
029-608-056-529-404,2017
029-628-030-215-501,2018
029-654-210-473-750,2016
029-677-498-677-198,2021
029-691-868-507-761,2017
029-700-319-648-299,2007
029-735-313-279-971,1999
029-735-362-299-16X,2015
029-751-066-559-537,2015
029-753-547-299-827,2017
029-770-365-788-245,2015
