Lens ID,Publication Year
004-503-445-051-960,2014
004-505-352-278-196,2020
004-543-374-745-071,2017
004-547-617-481-540,2021
004-551-318-986-065,2014
004-558-741-608-485,2017
004-576-001-814-792,2014
004-583-635-259-001,2019
004-601-826-785-879,2014
004-615-922-689-26X,2019
004-619-970-838-184,2017
004-621-622-642-890,2014
004-625-659-871-935,2020
004-629-739-916-193,2019
004-631-606-093-093,2018
004-632-566-611-259,2015
004-634-075-423-922,2021
004-641-121-887-839,2020
004-643-502-809-470,2020
004-667-858-623-892,2020
004-675-166-164-082,2013
004-707-583-875-014,2017
004-718-192-465-96X,2016
004-718-965-554-535,2018
004-726-143-593-607,2017
004-733-394-711-589,2019
004-753-580-283-213,2008
004-763-385-563-622,2015
004-769-516-036-126,2012
004-771-164-427-256,2020
004-785-548-664-098,2013
004-786-841-437-585,2018
004-791-392-225-777,2019
004-796-180-616-39X,2018
004-797-828-791-655,2014
004-816-215-896-527,2020
004-819-994-258-308,2014
004-830-287-405-783,2016
004-843-676-322-845,2017
004-847-197-640-473,2014
004-862-349-034-575,2016
004-871-257-584-937,2020
004-880-350-748-865,2019
004-883-418-508-555,2021
004-916-036-286-529,2020
004-917-394-520-500,2018
004-927-543-614-359,2014
004-934-548-125-074,2020
004-941-594-548-292,2020
004-954-930-366-504,2016
004-959-737-494-961,2011
004-961-657-456-730,2012
004-977-019-773-500,
005-009-985-463-627,2018
005-020-324-896-860,2014
005-028-281-605-301,2017
005-040-515-472-954,2018
005-056-422-044-13X,2015
005-075-846-857-242,2017
005-078-430-413-123,2020
005-085-688-034-118,2019
005-087-072-974-872,2018
005-088-787-246-46X,2016
005-101-219-743-509,2015
005-108-221-834-065,2016
005-126-060-740-111,2018
005-145-035-503-345,2015
005-145-421-024-57X,2019
005-150-278-899-440,2021
005-158-467-875-25X,2014
005-163-442-020-147,2016
005-163-507-994-779,2020
005-177-445-558-142,2020
005-186-771-612-372,2019
005-194-826-129-661,2016
005-196-190-685-177,2017
005-215-921-341-88X,2018
005-220-252-982-116,2021
005-224-005-118-257,2021
005-225-550-146-186,2018
005-228-007-951-670,2020
005-240-961-537-937,2016
005-260-960-757-987,2014
005-286-247-177-296,2015
005-290-176-992-673,2019
005-296-791-173-634,2013
005-298-077-326-348,2020
005-303-961-310-500,2017
005-308-571-127-543,2016
005-312-060-248-708,2017
005-315-967-268-030,2020
005-317-772-399-03X,2018
005-321-215-411-827,2012
005-326-685-810-913,2012
005-340-040-187-715,2013
005-349-647-470-358,2019
005-351-969-403-820,2021
005-356-290-196-143,2015
005-365-658-268-390,2016
005-365-980-713-800,2012
005-373-906-571-154,2021
005-382-925-275-064,2014
005-390-989-429-536,2012
005-401-153-940-271,2021
005-405-342-308-345,1989
005-411-087-028-24X,2021
005-423-549-282-09X,2017
005-429-767-176-049,2021
005-433-354-269-660,2014
005-434-458-748-097,2014
005-438-486-831-902,2013
005-450-239-721-142,2020
005-455-155-269-980,2017
005-461-505-054-463,2013
005-472-257-136-753,2017
005-489-752-100-361,2020
005-492-302-546-363,2014
005-502-263-778-802,2016
005-506-735-964-127,2016
005-514-867-053-405,2019
005-517-595-439-083,2017
005-536-002-682-111,2013
005-538-986-503-858,2014
005-544-276-906-039,2019
005-549-321-729-389,2016
005-559-036-325-229,2016
005-569-985-203-142,2015
005-577-928-894-522,2015
005-579-141-702-194,2018
005-586-451-004-629,2018
005-594-494-642-890,2014
005-596-696-554-572,2014
005-610-255-351-823,2019
005-613-460-412-561,2018
005-642-378-064-345,2016
005-644-361-931-528,2021
005-650-665-440-42X,2016
005-652-010-514-861,2012
005-659-991-760-542,2019
005-683-425-663-211,2019
005-698-964-673-963,2021
005-699-073-961-114,2016
005-713-603-261-974,2017
005-720-169-871-782,2016
005-722-492-982-406,2015
005-748-804-317-970,2012
005-754-861-824-89X,2011
005-759-320-082-697,2015
005-785-745-229-69X,2019
005-806-854-025-979,2019
005-808-870-540-865,2021
005-820-028-449-420,2014
005-824-999-783-788,2016
005-828-285-453-005,2017
005-849-989-445-567,2016
005-852-844-066-088,2021
005-854-488-561-750,2017
005-878-597-031-616,2001
005-885-750-883-133,2021
005-886-720-624-872,2015
005-895-305-385-821,2015
005-945-967-300-797,2014
005-952-517-094-565,2017
005-954-359-798-581,2016
005-956-292-075-141,2017
005-963-054-244-398,2017
005-966-197-181-703,
005-971-887-767-900,2020
005-986-619-422-932,2018
005-987-204-159-866,2019
005-998-875-566-757,2013
006-014-482-769-889,2013
006-016-209-745-711,2014
006-020-894-031-419,2017
006-033-068-373-276,2001
006-036-378-818-262,2019
006-054-315-139-413,2016
006-112-046-615-989,2020
006-117-077-498-319,2014
006-128-846-301-335,2014
006-149-620-562-199,2019
006-167-987-787-633,2021
006-175-866-696-33X,2017
006-176-418-300-068,2014
006-179-019-053-972,2017
006-183-424-791-647,2020
006-184-916-092-302,2019
006-194-060-355-441,2020
006-197-450-031-171,2017
006-198-773-414-788,2016
006-205-688-167-340,2020
006-211-432-073-472,2019
006-225-739-279-827,2016
006-231-225-868-668,2019
006-247-657-507-846,2013
006-249-890-285-484,2015
006-268-513-107-061,2010
006-284-202-277-725,2014
006-286-132-441-102,2012
006-293-565-134-939,2020
006-304-710-252-802,2014
006-304-862-279-000,2013
006-306-484-817-260,2017
006-315-406-812-258,2018
006-320-667-389-474,2013
006-324-341-761-780,2020
006-332-991-279-769,2002
006-333-585-085-701,2013
006-351-381-676-090,
006-358-995-060-372,2021
006-368-917-739-194,2020
006-371-647-635-260,2014
006-373-193-026-872,2021
006-384-396-613-00X,2018
006-387-051-689-141,2018
006-389-543-099-366,2019
006-397-314-560-462,2017
006-398-880-821-350,2017
006-415-376-353-836,2015
006-437-280-686-975,2020
006-440-870-763-317,2017
006-442-593-384-755,2013
006-443-608-104-977,2015
006-448-378-116-341,2016
006-451-648-779-223,2019
006-452-669-868-588,2017
006-454-680-373-067,2018
006-459-861-640-067,2016
006-463-337-511-113,2014
006-474-104-344-418,2021
006-481-709-765-392,2011
006-482-564-045-056,2018
006-485-062-139-144,2017
006-491-877-807-968,2014
006-494-100-915-998,2019
006-494-742-235-126,2018
006-503-725-546-047,2018
006-512-756-933-618,2019
006-522-681-210-288,2020
006-522-808-490-994,2018
006-530-777-922-124,2020
006-542-825-057-728,2021
006-545-620-860-545,2018
006-547-096-023-669,2021
006-550-071-369-855,2015
006-552-414-341-686,2019
006-552-764-567-618,2019
006-560-700-371-579,2021
006-598-438-907-756,2016
006-601-263-455-317,2014
006-627-032-613-627,2017
006-634-091-267-395,2018
006-643-373-350-693,2015
006-644-051-445-272,2014
006-644-435-587-675,2017
006-647-744-614-001,
006-673-651-765-029,2015
006-685-167-166-057,2011
006-688-445-997-410,2020
006-689-676-642-021,2012
006-691-673-783-788,2014
006-694-300-632-112,2018
006-695-223-803-655,2021
006-713-582-357-542,2020
006-723-602-589-404,2020
006-743-868-058-254,2020
006-749-799-766-712,2016
006-759-264-759-849,2010
006-773-419-192-295,2017
006-774-483-974-130,2019
006-776-524-328-063,2018
006-789-554-784-126,2017
006-801-088-339-488,2014
006-815-738-596-927,2015
006-822-499-140-134,2016
006-834-281-524-758,2020
006-847-846-936-008,2012
006-858-235-672-49X,2017
006-862-834-867-741,2018
006-896-444-615-472,2021
006-922-842-451-908,2013
006-926-652-094-389,2014
006-929-458-449-135,2020
006-931-671-178-082,2021
006-931-793-360-616,2019
006-964-426-028-102,2020
006-964-733-534-259,2013
006-966-913-544-621,2013
006-981-037-058-425,2017
006-984-113-284-402,2021
006-990-472-263-487,2014
006-992-054-341-488,2018
006-999-679-797-786,2011
007-001-127-715-935,2020
007-001-793-904-359,2021
007-007-226-448-323,2014
007-016-378-693-381,
007-021-271-861-249,2017
007-023-098-424-203,2014
007-030-891-651-52X,2014
007-043-486-361-118,2013
007-053-417-539-161,2012
007-055-434-164-401,2020
007-057-417-275-280,2015
007-064-110-060-74X,2021
007-082-657-382-602,2020
007-083-402-984-091,2021
007-084-816-252-661,2018
007-100-823-763-969,2017
007-109-203-141-457,2020
007-131-092-420-306,2020
007-140-825-651-115,2021
007-170-533-561-465,2013
007-172-245-928-487,2020
007-214-567-092-718,2018
007-245-188-256-294,2017
007-246-920-328-83X,2013
007-252-085-179-164,2013
007-253-191-597-006,2012
007-255-658-831-986,2017
007-257-962-871-869,2016
007-260-934-589-302,2012
007-262-167-312-589,2017
007-269-453-923-390,2016
007-318-710-296-841,2011
007-330-175-638-169,2018
007-335-652-965-588,2015
007-339-580-257-862,2011
007-346-874-489-445,2016
007-348-930-112-941,2015
007-349-692-766-724,2013
007-351-525-126-298,2019
007-354-489-344-418,2019
007-357-288-091-067,2017
007-374-909-455-463,2019
007-377-561-172-414,2018
007-381-155-478-671,2012
007-400-831-925-678,2013
007-401-126-489-756,2020
007-416-292-620-547,2014
007-423-669-283-356,2011
007-429-395-084-33X,2021
007-436-883-680-208,2020
007-443-460-957-418,2018
007-453-446-851-35X,2020
